	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
0	3.4	FSC 0.143 CUT-OFF	2018-05-04	29932903	doi:10.1016/j.molcel.2018.05.021	Glyde R, Ye FZ, Zhang XD	6gh5	0.490MDa, 0.03655868MDa, 0.150820875MDa, 0.155366781MDa, 0.010249547MDa, 0.054723082MDa, 0.01940441MDa, 0.019487436MDa	singleParticle	0.5	8.0	ETHANE	95	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	45.0	BRIGHT FIELD	OTHER	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	256	-0.10788548	0.22688344	0.000012941896	0.0077065425
0	4.1	FSC 0.143 CUT-OFF	2018-05-04	29932903	doi:10.1016/j.molcel.2018.05.021	Glyde R, Ye FZ, Zhang XD	6gh6	0.490MDa, 0.03655868MDa, 0.150820875MDa, 0.155366781MDa, 0.010249547MDa, 0.05473509MDa, 0.019487436MDa, 0.01940441MDa	singleParticle	0.5	8.	ETHANE	95	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	48.0	BRIGHT FIELD	OTHER	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	256	-0.081265144	0.19144611	0.0005381993	0.0061218822
0	30.0	OTHER	2018-05-07			Chicano A, Crosas E, Engel BD, Melero R, Oton J, Daban JR			subtomogramAveraging		7.2	OTHER			FEI VITROBOT MARK III	FIELD EMISSION GUN	1.8	BRIGHT FIELD	OTHER	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300		50	-0.12767532	0.17914577	0.000000000005043	0.05552994
0	3.23	FSC 0.143 CUT-OFF	2018-05-15	30598556	doi:10.1038/s41594-018-0169-7	Rathore S, Berndtsson J, Conrad J, Ott M	6giq	0.050282594MDa, 0.040528008MDa, 0.04368659MDa, 0.034097523MDa, 0.023393973MDa, 0.017276074MDa, 0.014583755MDa, 0.010987511MDa, 0.007485334MDa, 0.008602913MDa, 0.058832586MDa, 0.028585055MDa, 0.030383582MDa, 0.017164557MDa, 0.017161465MDa, 0.0173666MDa, 0.006942349MDa, 0.008921686MDa, 0.006974226MDa, 0.009799895MDa, 0.015046146MDa, 0.002656265MDa, 0.000592785MDa, 0.000616487MDa, 0.000691959MDa, 0.000634631MDa, 0.000592891MDa, 0.000564732MDa, 0.00017582MDa, 0.000734039MDa, 0.000593773MDa, 0.000834862MDa, 6.3546e-05MDa, 0.000852837MDa, 0.000127092MDa	singleParticle		7.4	ETHANE				FIELD EMISSION GUN	1.0	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	370	-1.2225217	2.422639	0.008202017	0.08052676
0	3.34	FSC 0.143 CUT-OFF	2018-05-15	30598556	doi:10.1038/s41594-018-0169-7	Rathore S, Berndtsson J, Conrad J, Ott M			singleParticle		7.4	ETHANE				FIELD EMISSION GUN	1.0	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	370	-1.0410119	2.3215709	0.008701679	0.07678789
0	3.5	FSC 0.143 CUT-OFF	2018-05-15	30598556	doi:10.1038/s41594-018-0169-7	Rathore S, Berndtsson J, Conrad J, Ott M			singleParticle		7.4	ETHANE				FIELD EMISSION GUN	1.0	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	370	-0.5725007	1.5357721	0.0071697747	0.061136417
0	8.7	FSC 0.143 CUT-OFF	2018-05-15	30638443	doi:10.7554/eLife.40171	Bergeron JRC, Kollman JM			singleParticle	2	7.0	ETHANE				FIELD EMISSION GUN	40.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 SUMMIT (4k x 4k)	FEI TECNAI F20	200		200	-0.026832027	0.103471845	0.0019379637	0.008786473
0	4.3	FSC 0.143 CUT-OFF	2018-05-15	30323254	doi:10.1038/s41564-018-0260-1	Rapisarda C, Fronzes R	6giy	0.066557125MDa, 0.041216344MDa, 0.049898121MDa	singleParticle	0.2	7.5	ETHANE				FIELD EMISSION GUN	1.5	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	450	-11.851832	30.160060000000001	0.00000000000448	1.0
0	4.7	FSC 0.143 CUT-OFF	2018-05-15	30323254	doi:10.1038/s41564-018-0260-1	Rapisarda C, Fronzes R	6gj1	0.066557125MDa, 0.041216344MDa, 0.016320783MDa	singleParticle		7.5	ETHANE				FIELD EMISSION GUN	1.5	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	200	-9.079955999999999	16.808064999999999	-0.00000000000268	1.0
0	4.3	FSC 0.143 CUT-OFF	2018-05-15	30323254	doi:10.1038/s41564-018-0260-1	Rapisarda C, Fronzes R	6gj3	0.029983488MDa, 0.049999223MDa	singleParticle	0.2	7.5	ETHANE				FIELD EMISSION GUN	1.5	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300		450	-13.500279000000001	32.492694999999998	0.000000000000366	1.0
0	3.3	FSC 0.143 CUT-OFF	2018-05-16	30250274	doi:10.1038/s41467-018-06440-6	Elad N, Baron S, Shakked Z, Zimhony O, Diskin R	6gjc	0.32935675MDa, 0.000456344MDa	singleParticle		7.2	ETHANE				FIELD EMISSION GUN	4.49	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	D3	400	-0.06720291	0.15161994	0.00038904152	0.005205547
0	4.06	FSC 0.143 CUT-OFF	2018-05-17	30449722	doi:10.1016/j.molcel.2018.10.012	Yu Q, Qu K, Modis Y	6gjz	2.079MDa, 0.114214477MDa, 0.004587852MDa, 0.00435258MDa, 6.5409e-05MDa, 0.000506196MDa	helical	0.5	7.7	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	29.33	BRIGHT FIELD	FLOOD BEAM	FEI FALCON III (4k x 4k)	FEI TITAN KRIOS	300		224	-0.075805224	0.18155327	0.0010824882	0.009103025
0	4.9	FSC 0.143 CUT-OFF	2018-05-18	30279415	doi:10.1038/s41467-018-06573-8	Schlauderer F, Desfosses A, Gutsche I, Hopfner KP, Lammens K	6gk2	0.012614566MDa, 0.010401128MDa	helical	1	7.5	ETHANE				FIELD EMISSION GUN	99.6	BRIGHT FIELD	FLOOD BEAM	FEI FALCON III (4k x 4k)	FEI TECNAI ARCTICA	200		310	-3.856203	7.497551	0.019812632	0.63959557
0	3.975	FSC 0.143 CUT-OFF	2018-05-18	30375379	doi:10.1038/s41467-018-06761-6	Iadanza MG, Ranson NA	6gk3	53.3MDa, 0.007635446MDa	helical	0.025	2.5	ETHANE	80	281.15	FEI VITROBOT MARK II	FIELD EMISSION GUN	38.5	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300		300	-0.08127573	0.13223831	0.000266917	0.0030406867
0	10.3	FSC 0.143 CUT-OFF	2018-05-18	30100183	doi:10.1016/j.cell.2018.07.006	Milicic G, Balchin D, Hayer-Hartl M, Hartl FU		0.842MDa	singleParticle		7.4	ETHANE				FIELD EMISSION GUN	40.0	BRIGHT FIELD	FLOOD BEAM	FEI FALCON II (4k x 4k)	FEI TITAN	300	C1	256	-0.11295794	0.27922672	0.0012513183	0.01309029
0	8.8	FSC 0.143 CUT-OFF	2018-05-18	30100183	doi:10.1016/j.cell.2018.07.006	Milicic G, Balchin D, Hayer-Hartl M, Hartl FU		1MDa	singleParticle		7.4	ETHANE				FIELD EMISSION GUN	18.0	BRIGHT FIELD	FLOOD BEAM	FEI FALCON II (4k x 4k)	FEI TITAN	300	C1	270	-0.08672277	0.306245	0.0013167954	0.013812984
0	9.1	FSC 0.143 CUT-OFF	2018-05-18	30100183	doi:10.1016/j.cell.2018.07.006	Milicic G, Balchin D, Hayer-Hartl M, Hartl FU		1.04MDa	singleParticle		7.4	ETHANE				FIELD EMISSION GUN	18.0	BRIGHT FIELD	FLOOD BEAM	FEI FALCON II (4k x 4k)	FEI TITAN	300	C1	270	-0.08278186	0.27012947	0.0012991953	0.013124164
0	16.7	FSC 0.143 CUT-OFF	2018-05-18	30100183	doi:10.1016/j.cell.2018.07.006	Milicic G, Balchin D, Hayer-Hartl M, Hartl FU			singleParticle		7.4	ETHANE				FIELD EMISSION GUN	18.0	BRIGHT FIELD	FLOOD BEAM	FEI FALCON II (4k x 4k)	FEI TITAN	300	C1	270	-0.026710883	0.08491805	0.0000924297	0.0057740486
0	9.42	FSC 0.5 CUT-OFF	2018-05-18			Iadanza MG, Ranson NA		0.0117MDa	helical	0.025	2.5	ETHANE	80	281.15	FEI VITROBOT MARK II	FIELD EMISSION GUN	38.5	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300		600	-0.005038559	0.019340014	0.00028363764	0.0018114602
0	2.56	FSC 0.143 CUT-OFF	2018-05-18	30397526		Baymukhametov TN, Chesnokov YM, Pichkur EB, Boyko KM, Tikhonova TV, Myasnikov AG, Vasiliev AL, Lipkin AV, Popov VO, Kovalchuk MV			singleParticle	6	7.0	ETHANE	98	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	3.3	BRIGHT FIELD	SPOT SCAN	FEI FALCON II (4k x 4k)	FEI TITAN KRIOS	300	D3	256	-0.921547	1.6588855	0.0027781222	0.061088625
0	6.69	FSC 0.5 CUT-OFF	2018-05-18			Iadanza MG, Ranson NA		0.0117MDa	helical	0.025	2.5	ETHANE	80	281.15	FEI VITROBOT MARK II	FIELD EMISSION GUN	38.5	BRIGHT FIELD	FLOOD BEAM	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300		300	-0.007585158	0.020368278	0.00027549188	0.0018030584
0	7.6	FSC 0.143 CUT-OFF	2018-05-19	30100183	doi:10.1016/j.cell.2018.07.006	Strauss M, Milicic G, Balchin D, Hayer-Hartl M, Hartl FU		1MDa	singleParticle		7.4	ETHANE				FIELD EMISSION GUN	70.0	BRIGHT FIELD	FLOOD BEAM	GATAN K2 QUANTUM (4k x 4k)	FEI TITAN KRIOS	300	C1	270	-0.11910982	0.35609964	0.0009467982	0.01279276
0	4.06	FSC 0.143 CUT-OFF	2018-05-21	30449722	doi:10.1016/j.molcel.2018.10.012	Yu Q, Qu K, Modis Y	6gkh	2.162MDa, 0.114214477MDa, 0.004894018MDa, 0.004681785MDa, 0.000427201MDa, 0.000102975MDa, 2.4305e-05MDa, 6.5409e-05MDa	helical	0.5	7.7	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	29.85	BRIGHT FIELD	FLOOD BEAM	FEI FALCON III (4k x 4k)	FEI TITAN KRIOS	300		224	-0.14012551	0.25628585	0.0012399934	0.011302313
